time_utc,activity,target_id,station_id,duration_sec,power_W,battery_SOC,data_MB
2026-02-17T23:41:00.232128+00:00,OBSERVE,target_beijing,-,430.0,5.0,0.953,50.0
2026-02-17T23:48:11.232128+00:00,OBSERVE,target_tokyo,-,327.3,5.0,0.977,50.0
2026-02-18T00:30:14.485010+00:00,DOWNLINK,-,gs_santiago,500.0,8.0,0.922,-125.0
2026-02-18T00:38:35.485010+00:00,OBSERVE,target_saopaulo,-,356.5,5.0,0.975,50.0
2026-02-18T01:03:36.793042+00:00,OBSERVE,target_london,-,90.0,5.0,0.969,50.0
2026-02-18T01:06:11.094414+00:00,OBSERVE,target_moscow,-,470.0,5.0,0.967,50.0
2026-02-18T02:09:14.485010+00:00,DOWNLINK,-,gs_santiago,610.0,8.0,0.9,-152.5
2026-02-18T02:19:25.485010+00:00,OBSERVE,target_saopaulo,-,166.5,5.0,0.988,50.0
2026-02-18T02:39:16.793042+00:00,OBSERVE,target_london,-,470.0,5.0,0.967,50.0
2026-02-18T02:47:07.793042+00:00,OBSERVE,target_moscow,-,373.3,5.0,0.974,50.0
2026-02-18T03:51:44.485010+00:00,DOWNLINK,-,gs_santiago,180.0,8.0,0.954,-45.0
2026-02-18T04:18:26.793042+00:00,OBSERVE,target_london,-,500.0,5.0,0.965,50.0
2026-02-18T05:43:32.799343+00:00,DOWNLINK,-,gs_wallops,550.0,8.0,0.939,-137.5
2026-02-18T05:58:16.793042+00:00,OBSERVE,target_london,-,490.0,5.0,0.966,50.0
2026-02-18T06:06:27.793042+00:00,OBSERVE,target_moscow,-,213.3,5.0,0.985,50.0
2026-02-18T06:10:02.094414+00:00,OBSERVE,target_cairo,-,217.3,5.0,0.97,50.0
2026-02-18T07:22:32.799343+00:00,DOWNLINK,-,gs_wallops,600.0,8.0,0.903,-150.0
2026-02-18T07:37:56.793042+00:00,OBSERVE,target_london,-,480.0,5.0,0.967,50.0
2026-02-18T07:46:39.373938+00:00,OBSERVE,target_cairo,-,480.0,5.0,0.967,50.0
2026-02-18T09:04:22.799343+00:00,DOWNLINK,-,gs_wallops,440.0,8.0,0.918,-110.0
2026-02-18T09:18:46.793042+00:00,OBSERVE,target_london,-,240.0,5.0,0.983,50.0
2026-02-18T10:05:47.649994+00:00,OBSERVE,target_sydney,-,420.0,5.0,0.971,50.0
2026-02-18T10:46:02.799343+00:00,DOWNLINK,-,gs_wallops,380.0,8.0,0.958,-95.0
2026-02-18T11:45:07.649994+00:00,OBSERVE,target_sydney,-,460.0,5.0,0.968,50.0
2026-02-18T12:25:42.799343+00:00,DOWNLINK,-,gs_wallops,530.0,8.0,0.941,-132.5
